id,sourceid,name,party,area,seat,start
0228027853620,9d24d55a-be20-4caa-ac48-4da11b50969c,Vasiliki Tsouplaki,V,Västmanlands län,135,2018-09-24
0947572086414,4777adeb-0a0f-4154-ace9-0c5f149f228b,Anne-Li Sjölund,C,Västernorrlands län,136,2021-09-14
07921826010,0a614b1d-8d24-4794-838d-8fbed7b503c5,Anna-Belle Strömberg,S,Västernorrlands län,137,2021-11-16
0961483563503,66a97750-1ac5-4f8d-be57-ac4c1c733ee9,Gudrun Nordborg,V,Västerbottens län,138,2020-11-04
0506482805418,cebc9890-55f1-41ff-acc7-af2de3e4320e,Isak From,S,Västerbottens län,139,2018-09-24
0462699892622,f7506cc9-0867-4ec3-a0ba-8a1a127060f8,Maria Ferm,MP,Stockholms kommun,140,2021-11-30
0992420223820,acdaa4aa-20f2-49a0-b929-0862f4bd6826,Jessica Rosencrantz,M,Stockholms kommun,141,2020-05-04
0833552896828,38c1274b-b3d9-470e-b324-89f229e8e931,Jasmin Farid,M,Stockholms län,142,2022-03-23
0802546764724,73281fee-b276-4150-8cf0-fd3368b3c5c6,Åsa Westlund,S,Stockholms län,143,2018-09-24
0493288854424,ab589436-528b-42c5-8e0c-28849b0d2294,Niklas Wykman,M,Stockholms län,144,2018-09-24
0294138886823,57cbe134-829b-4fb8-9cc1-ce2f1cd02f3b,Martin Kinnunen,SD,Stockholms län,145,2018-09-24
0229350341619,ffe5107b-dc51-4209-ae87-9eabf8fe014d,Ilona Szatmari Waldau,V,Uppsala län,146,2018-09-24
064711971110,d9a13d2e-85ec-4c59-af10-773ff99b8eb1,Maria Gardfjell,MP,Uppsala län,147,2018-09-24
0281670919717,086bff3d-8adb-47c2-b5dc-86d4a9f1b191,Jörgen Grubb,SD,Östergötlands län,148,2018-09-24
0719332223713,3eae18dc-594f-44eb-95a8-0e5b2b71d645,Juno Blom,L,Östergötlands län,149,2018-09-24
0772402807013,06776272-4f62-44c7-9011-f66349279c88,Sven-Olof Sällström,SD,Kronobergs län,150,2018-09-24
0831636664429,727e2213-ac97-4ceb-bfab-f228debd8074,Mattias Karlsson,SD,Kronobergs län,151,2018-09-24
0925652297119,e9375099-ca5f-4aac-a0ab-de8e3ed1ee99,Per Ramhorn,SD,Malmö kommun,152,2018-09-24
0744139167426,8af2f4df-6c44-4844-89af-c0fd142e4eed,Rasmus Ling,MP,Malmö kommun,153,2021-01-01
0254021157518,46472134-8e4e-4c65-856e-d401cad915dd,Lars Andersson,SD,Skåne läns södra,154,2018-09-24
0411459873625,8880da78-8ec1-41f7-96c7-f007375352ac,Hanna Gunnarsson,V,Skåne läns södra,155,2018-09-24
0161597857912,d7c31c8c-83e4-11d4-ae60-0050040c9b55,Tuve Skånberg,KD,Skåne läns norra och östra,156,2018-09-24
0132818093422,a57d39bb-9f60-4def-ab90-97791ec56447,Rickard Nordin,C,Göteborgs kommun,157,2018-09-24
0691264514114,9fd034bc-17ce-471b-b78c-94e03b34f7a0,Anna Johansson,S,Göteborgs kommun,158,2018-09-24
0198917587520,9d6489d6-6fa5-4420-9224-8968abaa569c,Maj Karlsson,V,Göteborgs kommun,159,2018-09-24
0974061238314,ee75e6d6-b026-4d65-a54e-f02861c80721,Paula Holmqvist,S,Västra Götalands läns norra,160,2018-09-24
0170585430421,c63331e9-02ca-4f71-a7de-9a17e2ec4ac4,Jimmy Ståhl,SD,Västra Götalands läns norra,161,2018-09-24
0322827326923,92355c36-d95d-42ed-9ad9-463bf9558767,Arman Teimouri,L,Värmlands län,162,2018-09-24
0224712677012,d7c327f8-83e4-11d4-ae60-0050040c9b55,Johan Pehrson,L,Örebro län,163,2018-09-24
048970816012,dd4afc3e-7460-4e22-8eba-9ad0fc2915ac,Eva-Lena Jansson,S,Örebro län,164,2021-09-03
0148424181819,3298ed49-917f-4230-8cf5-e10a70a93727,Ann-Christine From Utterstedt,SD,Västmanlands län,165,2018-09-24
0628005785225,fe6f437b-729a-4943-8e41-f43d39a5605f,Jörgen Berglund,M,Västernorrlands län,166,2018-09-24
0203877548421,39523176-322e-469e-a754-3c46db2b0756,Malin Larsson,S,Västernorrlands län,167,2018-09-24
084624777218,6cca7c48-b127-4d65-8052-ac3588a50dbd,Helena Lindahl,C,Västerbottens län,168,2018-09-24
0273506284025,eaa4ca85-20f4-4375-8b76-61febbcf37f6,Edward Riedl,M,Västerbottens län,169,2018-09-24
0559925283228,2d7334ea-9a6f-4381-b6ec-3c46d744cb9a,Teres Lindberg,S,Stockholms kommun,170,2018-09-24
014386615025,979e9852-69ed-4077-8140-52ab99414a6c,Ali Esbati,V,Stockholms kommun,171,2018-09-24
0204443909416,6014c0f6-d3b6-4ed4-ae63-ace3af71dc86,Johan Hedin,C,Stockholms kommun,172,2021-03-01
0246927519019,b250135d-d424-497a-8484-36cb6c0dbf3d,Karin Rågsjö,V,Stockholms kommun,173,2018-09-24
0496341906327,f96150c2-6e1c-4e3f-bc7f-2503f3cc9ede,Alexandra Völker,S,Stockholms län,174,2022-02-07
0604811710522,e8a2c04d-a186-421b-b1fd-a401f0917673,Ida Drougge,M,Stockholms län,175,2019-09-10
0955748436811,0cb27c59-4f9e-4d84-a8e2-f45325b5a93c,Robert Stenkvist,SD,Stockholms län,176,2018-09-24
0256716955026,f2597c6d-8286-457a-9d62-6243f260af40,Serkan Köse,S,Stockholms län,177,2018-09-24
0853204119514,cec8b2f1-f56f-4b7e-974f-eefa299c89cb,Marlene Burwick,S,Uppsala län,178,2018-09-24
0161616238120,87042942-c4f6-46ff-9eac-fceaf25729d5,Lina Nordquist,L,Uppsala län,179,2018-09-24
025931369428,9944df03-e946-4046-aeef-c49117503a0c,Jonas Andersson,SD,Östergötlands län,180,2018-09-24
0694273653613,0db8710b-fb8c-4e23-9f9e-e9fa7486ef15,Margareta Fransson,MP,Östergötlands län,181,2021-09-19
0760500234712,6f818cd1-9a97-412f-bc59-1d1e8a2ceb19,Monica Haider,S,Kronobergs län,182,2018-09-24
0729710260118,a65ace9d-bbae-43cd-8a21-119c8b3b0bfb,Helena Bouveng,M,Jönköpings län,183,2018-09-24
0121939297619,6a1b02dd-bdc4-4019-ab3e-dfeb133018ed,Jamal El-Haj,S,Malmö kommun,184,2018-09-24
0254695027922,f257311a-2900-4db5-a2e2-df250c764ad6,Momodou Malcolm Jallow,V,Malmö kommun,185,2018-09-24
0556755096938,839960b7-7e73-41f6-a590-ff7d7301a868,Axel Hallberg,MP,Skåne läns södra,186,2021-09-20
0130640724922,6977f22f-363b-40fb-8f8f-8163b4492345,Clara Aranda,SD,Skåne läns södra,187,2018-09-24
0731442709013,f03ff4a2-c476-11d4-ae40-006008578ce8,Christer Nylander,L,Skåne läns norra och östra,188,2018-09-24
0980681611418,ef84acf4-4f56-45d9-9951-1c8ba4098302,Hans Wallmark,M,Skåne läns norra och östra,189,2018-09-24
0877778793323,90110ece-022e-4e0f-bb4e-f5102900fa9a,Johan Büser,S,Göteborgs kommun,190,2018-09-24
0223069839622,99a5ca75-949e-470a-9b44-e2cdbcec920b,Robert Hannah,L,Göteborgs kommun,191,2019-05-17
0344222203323,13a59e93-95fe-45fb-b7b5-a76f8181cb4f,Dennis Dioukarev,SD,Göteborgs kommun,192,2018-09-24
0468765214727,3b9b4858-4b06-4e43-b452-a0dc9d730e9a,Yasmine Posio,V,Göteborgs kommun,193,2018-09-24
0519542449425,08f0d4c3-a02f-4e08-88b2-c03d384f63fc,Fredrik Christensson,C,Västra Götalands läns norra,194,2018-09-24
